ID,NAME,SEX,PHONE,ADDRESS,STARTED_DATE,ID_MEDIA,STATUS
1,Belita Fasse,Polygender,433-313-3709,2 Corry Park,2020-09-22 01:34:42,1828,RESIGNING
2,Meris Belson,Agender,808-582-2021,91393 Cottonwood Alley,2021-05-30 02:13:38,1447,RESIGNING
3,Catherina Bon,Polygender,932-424-6929,75 Sunfield Crossing,2021-03-07 00:17:45,1494,WORKING
4,Edithe McCann,Agender,453-249-3279,06 Westridge Lane,2020-10-23 19:56:19,1609,WORKING
5,Elianore Jiruch,Bigender,375-420-4375,4917 Lukken Place,2021-06-01 03:33:57,1497,RESIGNING
6,Melodee Aulton,Genderqueer,419-631-3033,507 Bellgrove Parkway,2021-01-22 10:32:03,1942,WORKING
7,Sarina Mabey,Genderfluid,962-520-0285,30226 Evergreen Court,2020-12-03 22:11:29,1303,RESIGNING
8,Diahann Beedom,Bigender,684-152-4735,495 Service Way,2020-12-05 16:08:21,1812,BLACKLIST
9,Donella Lorenzo,Bigender,954-955-2026,2 Meadow Ridge Drive,2021-04-25 02:09:52,1047,RESIGNING
10,Caitrin Jambrozek,Genderqueer,996-304-8964,2 North Way,2021-06-22 02:59:49,1700,WORKING
11,Ichabod Coulthard,Non-binary,846-543-1018,790 West Place,2021-05-23 10:36:47,1600,BLACKLIST
12,Archibald Leiden,Agender,657-245-9941,60181 Johnson Pass,2021-08-17 21:12:14,1434,RESIGNING
13,Zackariah Munt,Polygender,223-213-3839,0999 Elmside Way,2021-02-10 01:14:29,1160,WORKING
14,Ilise Baroche,Male,259-174-5866,72 Hayes Circle,2021-04-30 18:34:08,1278,BLACKLIST
15,Mathilde Dyster,Genderfluid,996-969-4237,5 Crest Line Place,2021-02-13 11:02:26,1515,RESIGNING
16,Timmy Ahmad,Non-binary,229-219-9037,4 Ridgeway Point,2021-06-25 05:37:36,1761,RESIGNING
17,Susanna Ziemecki,Genderqueer,781-502-4652,666 Harbort Alley,2021-07-04 19:21:22,1108,WORKING
18,Harwell Walcher,Male,787-827-7925,8786 Barnett Junction,2021-03-06 15:19:55,1713,RESIGNING
19,Catrina Gooday,Male,550-379-3333,151 Dapin Pass,2021-05-28 01:28:30,1074,RESIGNING
20,Hakeem McGettigan,Genderqueer,312-689-6260,910 Lerdahl Alley,2021-04-17 20:45:42,1358,BLACKLIST
21,Daffi Geerdts,Female,323-514-2682,92867 Amoth Plaza,2021-06-14 16:37:33,1145,BLACKLIST
22,Berky Marchetti,Non-binary,594-115-5742,41 Golf Course Circle,2021-07-07 12:23:57,1213,WORKING
